log10(Mass)+10    log10(VelDisp)   number_of_galaxy
13.601843 2.584893 12875.000000
13.536991 2.345631 3093.000000
13.295721 2.333262 1848.000000
13.273073 2.273950 1254.000000
13.179947 2.236524 1090.000000
12.978085 2.228524 764.000000
13.019120 2.222042 686.000000
12.979739 2.202082 510.000000
12.519096 2.223820 465.000000
12.828020 2.226276 383.000000
12.828127 2.126951 375.000000
12.732496 2.207512 379.000000
12.799487 2.186840 380.000000
12.662856 2.141234 287.000000
12.792206 2.157435 289.000000
12.594723 2.178674 252.000000
12.560670 2.198415 272.000000
12.579362 2.198676 248.000000
12.557215 2.225786 219.000000
12.500063 2.217757 220.000000
12.476093 2.129241 197.000000
12.355697 2.190466 226.000000
12.462088 2.171467 196.000000
12.452423 2.236774 163.000000
12.401605 2.198937 178.000000
12.202082 2.196649 192.000000
12.326749 2.131364 159.000000
12.310019 2.192169 169.000000
12.323475 2.181642 176.000000
12.353897 2.170486 140.000000
12.354711 2.151325 153.000000
12.356499 2.220914 153.000000
12.267938 2.179400 153.000000
12.322245 2.186028 157.000000
12.321168 2.151588 163.000000
12.121099 2.221586 139.000000
12.269027 2.200324 136.000000
11.106954 2.179868 123.000000
12.268229 2.186236 102.000000
12.258623 2.179144 117.000000
12.268038 2.234762 203.000000
12.206379 2.165680 135.000000
12.167328 2.160415 127.000000
12.227845 2.195989 115.000000
12.107538 2.181122 127.000000
12.014146 2.215112 117.000000
12.170153 2.210438 115.000000
12.183419 2.159661 116.000000
12.168305 2.202046 115.000000
12.169894 2.176265 103.000000
11.797452 2.227763 115.000000
12.114937 2.164457 105.000000
12.039073 2.137619 120.000000
12.051656 2.185496 93.000000
11.622882 2.121358 101.000000
12.058103 2.090026 116.000000
12.022853 2.211043 109.000000
12.006528 2.172340 114.000000
12.056481 2.233731 122.000000
12.054037 2.199069 108.000000
12.056736 2.179825 94.000000
12.021266 2.221326 107.000000
11.998607 2.155576 90.000000
12.013409 2.207848 109.000000
12.019810 2.186166 92.000000
11.980878 2.170246 99.000000
11.953884 2.131131 97.000000
11.973059 2.184457 92.000000
11.913798 2.194970 100.000000
11.927069 2.152756 95.000000
11.957024 2.181783 94.000000
11.947509 2.131924 98.000000
11.950245 2.253227 84.000000
11.906176 2.198787 103.000000
11.842037 2.195600 105.000000
11.901917 2.185793 93.000000
11.822194 2.163527 91.000000
11.872679 2.142752 91.000000
11.863037 2.172400 81.000000
11.836366 2.238100 93.000000
11.721566 2.178317 94.000000
11.816439 2.184803 87.000000
11.897972 2.219231 88.000000
11.528653 2.249994 86.000000
11.622601 2.238842 92.000000
11.838002 2.140126 93.000000
11.858584 2.178758 84.000000
11.828368 2.141510 83.000000
11.768155 2.181720 79.000000
11.835844 2.183610 93.000000
11.846937 2.125256 85.000000
11.344475 2.127156 75.000000
11.828136 2.216478 87.000000
11.825615 2.132847 83.000000
11.773869 2.155103 87.000000
11.758732 2.311550 92.000000
11.682694 2.231361 79.000000
11.456130 2.253259 84.000000
11.761045 2.223176 76.000000
11.737743 2.159240 88.000000
11.524988 2.149966 84.000000
11.767784 2.123746 82.000000
11.786233 2.205185 92.000000
11.732769 2.165403 81.000000
11.699221 2.115214 86.000000
11.797256 2.214327 74.000000
11.757853 2.190919 87.000000
11.700972 2.189299 81.000000
11.754873 2.249394 79.000000
11.501118 2.207367 78.000000
11.741884 2.186019 88.000000
11.697653 2.175420 82.000000
11.730844 2.135295 84.000000
11.683017 2.181887 77.000000
11.730932 2.255622 81.000000
11.603021 2.201071 91.000000
11.740355 2.230859 85.000000
11.748891 2.168332 80.000000
11.466775 2.165643 77.000000
11.579584 2.196081 81.000000
11.681630 2.150202 77.000000
11.733367 2.170258 79.000000
11.721095 2.175473 75.000000
11.642126 2.202579 81.000000
11.717184 2.160821 83.000000
11.687545 2.099777 82.000000
11.682634 2.171851 79.000000
11.647485 2.215265 81.000000
11.532881 2.226913 88.000000
11.053394 2.155972 84.000000
11.602948 2.237268 73.000000
11.578704 2.201842 78.000000
11.649629 2.222470 82.000000
11.642205 2.215884 71.000000
11.669075 2.183151 77.000000
11.579594 2.236192 72.000000
11.454032 2.163795 73.000000
11.599291 2.179902 78.000000
11.632279 2.211097 77.000000
11.569106 2.147939 69.000000
11.654859 2.132938 72.000000
11.431115 2.159357 74.000000
11.538102 2.194284 83.000000
11.585984 2.180700 82.000000
11.419179 2.231870 75.000000
11.618863 2.215008 77.000000
11.602480 2.243702 78.000000
11.616319 2.172152 76.000000
11.276041 2.184103 79.000000
11.630803 2.222627 76.000000
11.615496 2.159923 69.000000
11.582256 2.120503 69.000000
11.363726 2.256722 71.000000
11.482841 2.211842 75.000000
11.559652 2.181154 66.000000
11.581436 2.241382 81.000000
11.521926 2.266035 70.000000
11.495905 2.203145 72.000000
11.576797 2.249502 76.000000
11.577419 2.210603 71.000000
11.579686 2.218354 70.000000
11.586513 2.148791 81.000000
11.574265 2.183651 73.000000
11.565873 2.150682 74.000000
11.558627 2.169843 70.000000
11.569384 2.188258 70.000000
11.533752 2.212072 69.000000
11.512937 2.162915 75.000000
11.530354 2.126346 71.000000
11.546142 2.173969 78.000000
11.534646 2.185172 73.000000
11.523022 2.184048 72.000000
11.506600 2.178385 72.000000
11.485749 2.171268 74.000000
11.496646 2.265826 73.000000
11.187355 2.207426 64.000000
11.515708 2.212799 72.000000
11.482337 2.197684 67.000000
11.499439 2.192231 80.000000
11.404554 2.150641 71.000000
11.493750 2.224005 75.000000
11.500052 2.144787 75.000000
11.450110 2.116878 81.000000
11.434976 2.250346 70.000000
11.520411 2.189726 72.000000
11.480881 2.201930 71.000000
11.495970 2.124798 75.000000
11.504220 2.215973 70.000000
10.647003 2.124209 62.000000
11.289583 2.154810 75.000000
11.514470 2.225799 69.000000
11.480779 2.166039 80.000000
11.243720 2.142967 69.000000
11.493951 2.213013 68.000000
11.470314 2.205229 66.000000
10.667098 2.207190 69.000000
11.462175 2.176064 66.000000
11.465263 2.169385 64.000000
11.425123 2.130725 67.000000
11.184298 2.116074 69.000000
11.400885 2.142184 72.000000
11.437328 2.123772 64.000000
11.442632 2.192899 72.000000
11.450242 2.194553 68.000000
11.430321 2.223643 69.000000
11.427155 2.241853 69.000000
11.368916 2.121275 66.000000
11.442494 2.231686 67.000000
11.393527 2.197680 67.000000
11.372826 2.193493 64.000000
11.415727 2.129394 66.000000
11.479314 2.192759 72.000000
