log10(Mass)+10    log10(VelDisp_particles)
13.601843 2.739431
13.536991 2.708830
13.295721 2.608606
13.273073 2.639231
13.179947 2.590684
12.978085 2.504874
13.019120 2.539613
12.979739 2.533851
12.519096 2.421324
12.828020 2.476271
12.828127 2.475781
12.732496 2.527631
12.799487 2.463631
12.662856 2.419092
12.792206 2.494568
12.594723 2.423428
12.560670 2.398060
12.579362 2.417085
12.557215 2.383004
12.500063 2.384484
12.476093 2.358613
12.355697 2.312120
12.462088 2.361122
12.452423 2.345459
12.401605 2.339460
12.202082 2.322771
12.326749 2.329006
12.310019 2.271429
12.323475 2.288336
12.353897 2.310589
12.354711 2.325321
12.356499 2.330236
12.267938 2.298839
12.322245 2.280664
12.321168 2.312935
12.121099 2.236148
12.269027 2.298565
11.106954 2.217061
12.268229 2.282776
12.258623 2.295284
12.268038 2.295981
12.206379 2.259507
12.167328 2.252142
12.227845 2.266213
12.107538 2.232013
12.014146 2.215160
12.170153 2.269089
12.183419 2.280488
12.168305 2.250603
12.169894 2.269116
11.797452 2.179427
12.114937 2.257697
12.039073 2.204465
12.051656 2.210483
11.622882 2.156843
12.058103 2.220718
12.022853 2.205424
12.006528 2.185459
12.056481 2.217407
12.054037 2.227594
12.056736 2.246455
12.021266 2.209814
11.998607 2.197507
12.013409 2.226233
12.019810 2.209440
11.980878 2.213567
11.953884 2.177727
11.973059 2.203517
11.913798 2.153932
11.927069 2.182481
11.957024 2.207219
11.947509 2.193624
11.950245 2.207818
11.906176 2.182421
11.842037 2.173068
11.901917 2.176824
11.822194 2.213741
11.872679 2.147783
11.863037 2.146790
11.836366 2.166363
11.721566 2.149668
11.816439 2.139901
11.897972 2.215845
11.528653 2.101247
11.622601 2.100527
11.838002 2.146010
11.858584 2.172175
11.828368 2.113855
11.768155 2.203816
11.835844 2.161967
11.846937 2.189265
11.344475 2.086969
11.828136 2.151193
11.825615 2.160293
11.773869 2.154078
11.758732 2.110540
11.682694 2.113255
11.456130 2.106167
11.761045 2.099270
11.737743 2.131110
11.524988 2.037947
11.767784 2.147489
11.786233 2.123997
11.732769 2.127777
11.699221 2.082829
11.797256 2.158347
11.757853 2.129274
11.700972 2.104279
11.754873 2.142899
11.501118 2.057950
11.741884 2.132329
