log10(Mass)+10    log10(VelDisp_subhalos)
13.601843 2.793937
13.536991 2.743813
13.295721 2.652550
13.273073 2.654170
13.179947 2.651621
12.978085 2.552078
13.019120 2.557809
12.979739 2.563587
12.519096 2.469520
12.828020 2.506209
12.828127 2.488298
12.732496 2.436593
12.799487 2.469648
12.662856 2.425428
12.792206 2.530955
12.594723 2.427658
12.560670 2.390028
12.579362 2.400176
12.557215 2.416862
12.500063 2.387003
12.476093 2.403899
12.355697 2.349042
12.462088 2.405901
12.452423 2.359052
12.401605 2.326313
12.202082 2.347718
12.326749 2.335995
12.310019 2.306563
12.323475 2.317604
12.353897 2.332205
12.354711 2.384054
12.356499 2.351735
12.267938 2.353152
12.322245 2.355676
12.321168 2.347052
12.121099 2.251787
12.269027 2.352106
11.106954 2.255346
12.268229 2.323639
12.258623 2.350202
12.268038 2.306661
12.206379 2.247200
12.167328 2.286543
12.227845 2.292022
12.107538 2.254186
12.014146 2.270900
12.170153 2.232127
12.183419 2.286058
12.168305 2.206528
12.169894 2.311938
11.797452 2.341259
12.114937 2.284654
12.039073 2.262916
12.051656 2.232091
11.622882 2.203774
12.058103 2.191046
12.022853 2.155963
12.006528 2.183084
12.056481 2.255333
12.054037 2.184170
12.056736 2.229351
12.021266 2.158440
11.998607 2.207248
12.013409 2.238611
12.019810 2.202670
11.980878 2.164607
11.953884 2.186726
11.973059 2.242493
11.913798 2.220767
11.927069 2.167738
11.957024 2.179024
11.947509 2.259874
11.950245 2.186180
11.906176 2.187828
11.842037 2.182962
11.901917 2.233132
11.822194 2.331329
11.872679 2.200062
11.863037 2.122297
11.836366 2.147626
11.721566 2.187829
11.816439 2.158429
11.897972 2.103766
11.528653 2.105113
11.622601 2.132411
11.838002 2.116831
11.858584 2.314810
11.828368 2.251339
11.768155 2.251977
11.835844 2.192701
11.846937 2.240684
11.344475 2.125470
11.828136 2.178473
11.825615 2.242833
11.773869 2.180390
11.758732 2.110348
11.682694 2.049121
11.456130 2.087121
11.761045 2.187286
11.737743 2.113752
11.524988 1.983813
11.767784 2.119213
11.786233 2.160661
11.732769 2.081316
11.699221 2.103602
11.797256 2.128327
11.757853 2.116128
11.700972 2.166086
11.754873 2.024484
11.501118 2.017285
11.741884 2.160244
11.697653 2.154333
11.730844 2.171811
11.683017 2.140501
11.730932 2.092315
11.603021 2.051772
11.740355 2.172456
11.748891 2.186067
11.466775 2.040456
11.579584 2.091629
11.681630 2.127601
11.733367 2.103198
11.721095 2.143957
11.642126 2.094604
11.717184 2.072435
11.687545 2.068459
11.682634 2.096963
11.647485 2.042698
11.532881 2.040119
11.053394 2.083248
11.602948 2.105970
11.578704 2.059581
11.649629 2.062977
11.642205 2.125015
11.669075 2.144792
11.579594 2.107482
11.454032 1.992445
11.599291 2.099522
11.632279 2.055140
11.569106 2.014556
11.654859 1.535166
11.431115 2.012220
11.538102 2.044620
11.585984 2.049930
11.419179 2.122290
11.618863 2.096189
11.602480 2.082220
11.616319 2.099401
11.276041 1.961947
11.630803 2.109875
11.615496 2.018758
11.582256 2.108272
11.363726 1.962694
11.482841 2.059306
11.559652 2.061644
11.581436 2.106708
11.521926 1.961893
11.495905 1.966707
11.576797 2.061163
11.577419 2.041995
11.579686 2.090097
11.586513 2.064866
11.574265 2.023014
11.565873 2.086321
11.558627 1.860811
11.569384 2.042749
11.533752 2.157323
11.512937 2.044165
11.530354 2.006232
11.546142 2.247157
11.534646 1.983332
11.523022 2.038736
11.506600 2.055725
11.485749 2.003151
11.496646 1.958939
11.187355 2.176989
11.515708 2.065663
11.482337 2.186192
11.499439 2.013070
11.404554 2.038397
11.493750 2.001759
11.500052 2.005877
11.450110 2.041471
11.434976 2.024070
11.520411 2.092876
11.480881 1.962066
11.495970 2.101619
11.504220 2.076288
10.647003 1.995201
11.289583 1.957570
11.514470 2.052343
11.480779 2.050238
11.243720 2.006410
11.493951 1.937267
11.470314 1.969428
10.667098 1.997061
11.462175 2.029386
11.465263 2.112223
11.425123 1.993900
11.184298 1.856075
11.400885 2.070826
11.437328 1.914779
11.442632 2.064249
11.450242 2.065647
11.430321 2.017715
11.427155 1.945274
11.368916 2.029859
11.442494 1.946009
11.393527 2.060421
11.372826 1.991912
11.415727 2.007580
11.479314 2.029648
11.382004 2.010357
11.417460 2.021837
11.392940 2.031473
11.444515 2.060983
11.438353 2.121923
11.330828 1.911502
11.371255 1.956982
11.428918 1.986769
11.407461 2.127994
11.406704 2.010674
11.421692 2.053478
11.418791 1.993331
11.413878 2.191946
11.402974 2.053844
11.437514 2.013363
11.418156 1.963284
11.405582 2.089056
11.340437 1.969501
11.385424 1.963428
11.413832 1.967747
11.415989 1.879758
11.413912 2.025828
11.399309 1.996715
11.390867 1.995570
11.362600 2.048552
11.406945 1.745693
11.406344 1.958326
11.370802 2.014285
11.382548 1.996399
11.362677 1.634893
11.390692 1.936700
11.346874 1.985869
11.325432 2.068401
11.335935 1.964256
11.293901 1.895401
11.354824 2.002232
11.379501 1.965996
11.353268 2.207680
11.068712 1.988946
11.358917 1.963713
11.351683 1.758855
11.327725 1.949490
11.274152 1.910334
11.330570 1.908387
11.217379 2.017765
11.301794 1.925771
11.262848 1.967624
11.310719 1.975181
11.328195 1.936377
11.333971 1.972910
11.328878 1.925704
11.363360 1.939598
11.353155 1.893199
