No. Number M200 sigma200 R200 Sigma M_sigma Sigma_LoS
0.0 234.0 18785.13 658.49 0.9314 1048.03 47583.88 601.14
1.0 103.0 9480.49 524.27 0.7416 809.91 22625.43 441.87
2.0 80.0 5564.14 438.95 0.6209 730.94 15429.08 399.61
3.0 33.0 3614.0 380.13 0.5377 517.93 6709.03 339.86
4.0 59.0 5685.86 442.13 0.6254 692.67 13955.83 442.74
5.0 56.0 4732.53 415.89 0.5883 696.12 13258.79 416.08
6.0 38.0 4384.43 405.43 0.5735 652.55 11357.9 349.39
7.0 27.0 2020.23 313.14 0.443 565.52 6589.13 304.61
8.0 41.0 4219.24 400.28 0.5662 717.82 13569.1 409.18
9.0 35.0 4030.46 394.21 0.5576 664.49 11451.73 429.61
10.0 40.0 3843.97 388.04 0.5489 573.13 8385.77 370.1
11.0 29.0 3500.0 376.09 0.532 716.9 12717.56 386.24
12.0 29.0 3416.32 373.08 0.5277 545.85 7313.23 317.59
13.0 25.0 2772.72 348.0 0.4923 588.05 7917.19 346.07
14.0 18.0 2661.65 343.29 0.4856 641.58 9297.01 384.72
15.0 14.0 1914.59 307.59 0.4351 439.83 3914.91 241.34
16.0 25.0 2218.68 323.08 0.457 487.21 5045.64 246.64
17.0 12.0 2249.65 324.57 0.4591 548.13 6415.95 286.53
18.0 7.0 741.73 224.23 0.3172 217.41 697.3 87.63
19.0 13.0 1302.08 270.49 0.3826 360.58 2313.87 205.99
20.0 11.0 1864.49 304.88 0.4313 406.13 3308.58 221.53
21.0 17.0 2392.67 331.32 0.4686 484.07 5107.51 309.43
22.0 13.0 1544.76 286.35 0.4051 385.82 2804.41 225.43
23.0 11.0 1548.46 286.58 0.4054 413.09 3217.39 258.92
24.0 5.0 928.88 241.69 0.3419 290.86 1345.2 171.2
25.0 9.0 1536.83 285.86 0.4044 247.98 1156.57 111.03
26.0 4.0 1236.98 265.91 0.3761 197.69 683.71 49.07
27.0 11.0 1588.88 289.05 0.4089 377.68 2712.6 208.56
28.0 10.0 1359.9 274.44 0.3882 456.71 3766.14 203.97
29.0 11.0 1372.4 275.28 0.3894 375.21 2549.59 208.84
30.0 9.0 1021.91 249.5 0.3529 347.61 1983.59 140.68
31.0 11.0 1144.82 259.13 0.3665 438.25 3274.45 223.49
32.0 6.0 1126.02 257.71 0.3645 299.78 1523.67 188.55
33.0 5.0 904.1 239.53 0.3388 281.01 1244.4 181.39
34.0 9.0 1048.64 251.66 0.356 472.98 3704.12 213.11
35.0 6.0 756.62 225.72 0.3193 179.32 477.53 121.17
36.0 1.0 1102.11 255.87 0.3619 0.0 0.0 0.0
37.0 10.0 752.82 225.34 0.3188 387.67 2228.08 199.77
38.0 11.0 968.65 245.1 0.3467 440.79 3133.03 168.11
39.0 4.0 994.95 247.29 0.3498 451.3 3313.77 271.13
40.0 4.0 917.47 240.7 0.3405 297.54 1401.95 162.33
41.0 13.0 841.93 233.91 0.3309 326.18 1637.28 143.83
42.0 5.0 839.54 233.68 0.3305 284.89 1247.77 120.89
43.0 6.0 840.74 233.79 0.3307 330.23 1677.39 220.55
44.0 10.0 931.38 241.91 0.3422 437.04 3039.92 298.72
45.0 4.0 717.39 221.75 0.3137 252.27 928.51 132.5
46.0 8.0 708.48 220.83 0.3124 334.98 1630.3 207.6
47.0 4.0 609.69 210.05 0.2971 284.58 1119.11 73.63
48.0 1.0 405.92 183.41 0.2594 0.0 0.0 0.0
49.0 2.0 886.49 237.96 0.3366 74.62 87.18 43.04
50.0 3.0 791.51 229.14 0.3241 309.09 1440.15 266.26
51.0 4.0 723.91 222.42 0.3146 223.24 729.26 158.14
52.0 5.0 740.97 224.15 0.3171 226.15 754.25 125.86
53.0 7.0 624.58 211.74 0.2995 318.61 1414.12 169.41
54.0 5.0 595.56 208.41 0.2948 296.86 1208.4 157.02
55.0 2.0 606.65 209.7 0.2966 304.33 1277.78 159.05
56.0 1.0 473.95 193.13 0.2732 0.0 0.0 0.0
57.0 4.0 555.78 203.66 0.2881 344.14 1586.94 223.95
58.0 3.0 598.06 208.7 0.2952 215.73 639.04 110.87
59.0 2.0 525.14 199.85 0.2827 70.84 65.99 54.38
60.0 4.0 293.11 164.55 0.2327 204.87 454.36 56.32
61.0 1.0 327.78 170.79 0.2416 0.0 0.0 0.0
62.0 2.0 624.58 211.74 0.2995 225.58 708.89 160.32
63.0 8.0 568.93 205.26 0.2903 252.58 861.55 145.28
64.0 2.0 610.99 210.19 0.2973 293.36 1190.15 182.56
65.0 5.0 626.53 211.97 0.2998 373.29 1943.13 146.6
66.0 2.0 649.9 214.57 0.3035 132.03 246.05 84.71
67.0 1.0 347.66 174.18 0.2464 0.0 0.0 0.0
68.0 4.0 359.29 176.1 0.2491 189.89 417.77 74.46
69.0 1.0 575.67 206.06 0.2915 0.0 0.0 0.0
70.0 8.0 577.85 206.32 0.2919 250.81 853.93 119.42
71.0 5.0 557.85 203.92 0.2884 289.79 1126.66 114.49
72.0 5.0 502.2 196.9 0.2785 160.33 332.98 95.45
73.0 1.0 323.86 170.11 0.2406 0.0 0.0 0.0
74.0 11.0 463.08 191.64 0.2711 327.28 1350.53 201.12
75.0 2.0 331.04 171.36 0.2424 37.05 15.48 16.85
76.0 4.0 537.63 201.42 0.2849 321.53 1370.01 208.38
77.0 4.0 536.76 201.31 0.2848 185.65 456.51 102.02
78.0 2.0 498.94 196.47 0.2779 119.56 184.77 49.22
79.0 3.0 518.94 199.06 0.2816 269.63 952.09 138.32
80.0 1.0 385.7 180.31 0.2551 0.0 0.0 0.0
81.0 1.0 212.68 147.86 0.2092 0.0 0.0 0.0
82.0 4.0 486.23 194.78 0.2755 276.43 979.27 162.49
83.0 2.0 438.41 188.18 0.2662 253.02 792.62 219.21
84.0 6.0 472.97 193.0 0.273 262.11 872.34 114.57
85.0 4.0 435.04 187.7 0.2655 200.57 496.75 172.35
86.0 6.0 397.55 182.14 0.2576 278.14 927.01 145.97
87.0 1.0 350.05 174.58 0.2469 0.0 0.0 0.0
88.0 5.0 391.24 181.17 0.2563 251.33 752.93 143.06
89.0 1.0 406.89 183.55 0.2597 0.0 0.0 0.0
90.0 5.0 379.18 179.29 0.2536 297.84 1046.38 124.15
91.0 3.0 436.67 187.93 0.2658 252.96 791.13 82.73
92.0 2.0 367.33 177.4 0.2509 76.36 68.06 53.74
93.0 2.0 391.9 181.27 0.2564 236.89 669.31 196.26
94.0 0.0 393.96 181.59 0.2569 nan nan nan
95.0 4.0 407.22 183.6 0.2597 328.58 1304.21 228.71
96.0 3.0 330.38 171.24 0.2422 161.89 295.28 117.09
97.0 4.0 382.44 179.8 0.2543 388.51 1785.58 132.73
98.0 1.0 274.52 160.99 0.2277 0.0 0.0 0.0
99.0 2.0 343.75 173.52 0.2455 194.37 431.3 50.73
100.0 0.0 177.47 139.2 0.1969 nan nan nan
101.0 3.0 318.75 169.21 0.2393 182.45 370.57 132.52
102.0 0.0 190.84 142.61 0.2017 nan nan nan
103.0 4.0 356.58 175.66 0.2485 198.64 455.96 130.83
104.0 3.0 335.71 172.16 0.2435 83.14 78.29 61.78
105.0 2.0 357.66 175.84 0.2487 107.75 134.32 35.89
106.0 0.0 365.7 177.14 0.2506 nan nan nan
107.0 0.0 333.32 171.75 0.2429 nan nan nan
108.0 3.0 293.11 164.54 0.2328 128.99 180.13 73.89
109.0 4.0 373.75 178.43 0.2524 210.24 518.88 109.63
110.0 2.0 238.33 153.58 0.2172 195.28 385.33 125.84
111.0 0.0 311.8 167.97 0.2376 nan nan nan
112.0 0.0 330.06 171.19 0.2422 nan nan nan
113.0 2.0 305.82 166.89 0.2361 188.44 389.89 88.25
114.0 5.0 291.26 164.2 0.2323 287.14 890.69 109.23
115.0 5.0 291.26 164.2 0.2323 164.69 292.98 117.75
116.0 0.0 295.71 165.03 0.2334 nan nan nan
117.0 0.0 278.33 161.73 0.2288 nan nan nan
