No. Number_particles M200 sigma200 R200 Sigma M_sigma Sigma_LoS Offset offset_log a_major b_inter c_minor major_dispersion intermediate_dispersion minor_dispersion
0.0 172850.0 18785.1289 658.4898 0.9314 1054.8072 48201.6924 644.4414 0.01466 -1.83399 0.26568 0.2124 0.17452 666.75989 607.5577 546.73873
1.0 87234.0 9480.4854 524.2693 0.7416 850.9763 24977.9483 476.14 0.07467 -1.12683 0.2241 0.16838 0.14826 522.97567 508.69882 438.04415
2.0 51198.0 5564.1367 438.946 0.6209 727.1275 15268.5157 388.9765 0.01495 -1.82537 0.18373 0.12508 0.10992 476.86127 398.77817 377.21835
3.0 33254.0 3614.0044 380.1328 0.5377 610.1047 9309.5078 370.239 0.01294 -1.888 0.14478 0.12508 0.09976 382.99926 349.87574 321.13288
4.0 52318.0 5685.8569 442.1278 0.6254 757.8071 16703.8935 474.6319 0.07006 -1.15456 0.18816 0.1194 0.09941 535.03787 400.07554 357.695
5.0 43546.0 4732.5264 415.8885 0.5883 677.734 12567.7583 389.6808 0.01996 -1.69974 0.17813 0.13912 0.1218 468.771 342.59473 349.57976
6.0 40343.0 4384.4282 405.4344 0.5735 681.471 12387.0114 360.2069 0.07783 -1.10886 0.18989 0.1171 0.10395 458.74696 325.99342 384.29456
7.0 18589.0 2020.23 313.1393 0.443 507.0309 5296.5687 285.056 0.03757 -1.42515 0.14657 0.11298 0.09563 300.94173 279.77654 297.05139
8.0 38823.0 4219.2368 400.2754 0.5662 627.3515 10364.2546 379.0988 0.0147 -1.83278 0.15248 0.14992 0.10379 384.89555 384.85798 311.94498
9.0 37086.0 4030.4617 394.2095 0.5576 646.8098 10850.6017 388.238 0.01523 -1.81733 0.14943 0.12073 0.10362 420.64852 360.53144 333.81859
10.0 35370.0 3843.9688 388.0373 0.5489 613.859 9619.8929 334.3968 0.0115 -1.93945 0.1601 0.12703 0.10331 417.46354 336.14738 299.25239
11.0 32205.0 3500.0005 376.0913 0.532 647.5872 10377.1513 392.1822 0.01168 -1.93262 0.13142 0.12587 0.09153 406.89762 397.78306 309.14743
12.0 31435.0 3416.3179 373.0799 0.5277 608.6343 9092.1663 376.2424 0.03252 -1.48782 0.14728 0.12032 0.09349 355.84295 383.97261 310.44563
13.0 25513.0 2772.7219 347.9996 0.4923 582.1547 7759.3537 326.223 0.10227 -0.99027 0.15005 0.1109 0.08763 384.89563 331.5019 284.3693
14.0 24491.0 2661.6521 343.2866 0.4856 552.1723 6886.3128 304.8607 0.04928 -1.30733 0.14269 0.10955 0.0926 346.67859 318.2929 288.7868
15.0 17617.0 1914.5942 307.5861 0.4351 518.2136 5434.5168 273.4734 0.01353 -1.86858 0.12478 0.08788 0.07721 320.81085 301.94982 272.859
16.0 20415.0 2218.6775 323.0769 0.457 502.3803 5364.7277 288.7538 0.01588 -1.79905 0.12433 0.10339 0.10068 309.03479 288.76537 271.10524
17.0 20700.0 2249.6509 324.5728 0.4591 516.1492 5689.0713 294.3684 0.01282 -1.89224 0.12861 0.10763 0.0895 330.11455 290.9991 269.72939
18.0 6825.0 741.7327 224.2288 0.3172 372.2243 2043.9683 205.7627 0.02828 -1.54854 0.09515 0.08104 0.06426 229.04649 215.31123 199.32315
19.0 11981.0 1302.0806 270.4919 0.3826 442.4466 3483.7823 249.0598 0.01471 -1.83241 0.10304 0.08157 0.07896 264.58811 263.20455 237.64569
20.0 17156.0 1864.4933 304.878 0.4313 481.6868 4654.1268 277.1362 0.02037 -1.69101 0.11046 0.09572 0.09012 297.61017 266.78083 268.84626
21.0 22016.0 2392.6721 331.3154 0.4686 544.9667 6473.5123 315.1625 0.01361 -1.86629 0.12716 0.09523 0.08129 372.04432 289.58341 273.33721
22.0 14214.0 1544.7603 286.3483 0.4051 464.8149 4070.3501 278.2437 0.00816 -2.08806 0.10267 0.09393 0.07091 287.59007 281.95401 232.04902
23.0 14248.0 1548.4553 286.5775 0.4054 442.5117 3692.0192 265.8345 0.01954 -1.70915 0.09886 0.09581 0.08232 261.04626 266.208 238.33749
24.0 8547.0 928.8776 241.693 0.3419 378.7555 2281.1207 214.5027 0.03778 -1.42273 0.09934 0.08006 0.06305 227.25258 218.28869 210.14768
25.0 14141.0 1536.8268 285.8588 0.4044 471.0556 4173.1715 262.588 0.00604 -2.21928 0.09363 0.08003 0.07634 292.34328 263.10138 259.24211
26.0 11382.0 1236.9819 265.911 0.3761 446.2066 3483.0733 259.5834 0.00571 -2.24366 0.10001 0.07406 0.05709 293.00902 253.74532 221.04155
27.0 14620.0 1588.8839 289.0508 0.4089 447.4309 3807.1141 243.4556 0.07387 -1.13151 0.13192 0.08505 0.07929 298.02323 231.62371 240.26451
28.0 12513.0 1359.8977 274.4417 0.3882 432.8397 3382.6761 250.2335 0.02251 -1.64771 0.11906 0.08232 0.07258 281.6298 239.56275 225.04354
29.0 12628.0 1372.3958 275.279 0.3894 447.5138 3626.9871 253.1288 0.01754 -1.75608 0.11335 0.07957 0.07483 282.55687 250.28711 240.38843
30.0 9403.0 1021.9067 249.5038 0.3529 412.596 2794.5192 238.3007 0.00916 -2.03792 0.09416 0.07865 0.06766 265.23643 231.25857 215.41727
31.0 10534.0 1144.8224 259.1339 0.3665 439.0858 3286.9156 242.2314 0.01109 -1.95491 0.11013 0.08379 0.07021 277.93035 263.94854 214.20144
32.0 10361.0 1126.021 257.7095 0.3645 420.1847 2993.4097 240.5294 0.02328 -1.63299 0.09495 0.07695 0.06323 257.32764 241.84926 227.69851
33.0 8319.0 904.0988 239.5263 0.3388 388.4473 2377.7911 214.7435 0.00502 -2.29937 0.08142 0.07914 0.06352 235.38923 230.95855 205.28358
34.0 9649.0 1048.6416 251.6607 0.356 413.6407 2832.9751 232.3278 0.01315 -1.88111 0.10144 0.08372 0.06711 262.05019 244.59459 206.40198
