No. Number M200 sigma200 R200 Sigma M_sigma Sigma_LoS
0.0 51.0 18785.1289 658.4898 0.9314 1304.8238 73759.8115 793.4279
1.0 40.0 9480.4854 524.2693 0.7416 1058.6421 38656.2813 583.9171
2.0 15.0 5564.1367 438.946 0.6209 781.8083 17651.2823 481.9882
3.0 7.0 3614.0044 380.1328 0.5377 569.5438 8112.8277 382.7033
4.0 18.0 5685.8569 442.1278 0.6254 822.2936 19667.7271 504.5818
5.0 18.0 4732.5264 415.8885 0.5883 719.8457 14178.0996 419.614
6.0 15.0 4384.4282 405.4344 0.5735 654.4262 11423.3413 363.7949
7.0 11.0 2020.23 313.1393 0.443 434.6941 3893.079 235.986
8.0 15.0 4219.2368 400.2754 0.5662 693.7324 12673.6042 389.0181
9.0 6.0 4030.4617 394.2095 0.5576 592.6695 9110.1553 331.0688
10.0 7.0 3843.9688 388.0373 0.5489 567.6707 8226.7067 371.2054
11.0 10.0 3500.0005 376.0913 0.532 778.7226 15005.386 508.8514
12.0 3.0 3416.3179 373.0799 0.5277 424.3253 4419.2888 281.5654
13.0 11.0 2772.7219 347.9996 0.4923 561.3153 7213.7753 338.4522
14.0 8.0 2661.6521 343.2866 0.4856 593.4784 7955.1314 300.0665
15.0 6.0 1914.5942 307.5861 0.4351 514.4985 5356.8756 309.0924
16.0 7.0 2218.6775 323.0769 0.457 535.6164 6098.039 261.9885
17.0 7.0 2249.6509 324.5728 0.4591 578.0701 7135.9493 372.3604
18.0 2.0 741.7327 224.2288 0.3172 173.7413 445.3184 41.0582
19.0 4.0 1302.0806 270.4919 0.3826 499.7198 4444.085 173.8765
20.0 6.0 1864.4933 304.878 0.4313 446.6561 4001.7998 275.6729
21.0 5.0 2392.6721 331.3154 0.4686 429.3449 4018.024 250.3885
22.0 2.0 1544.7603 286.3483 0.4051 276.3921 1439.2064 132.8914
23.0 3.0 1548.4553 286.5775 0.4054 420.5168 3334.1196 147.7256
24.0 5.0 928.8776 241.693 0.3419 340.7343 1846.1292 183.8922
25.0 2.0 1536.8268 285.8588 0.4044 276.7651 1440.6037 132.0003
