mass M200 vel_disp group_number subhalo_number zform alpha
23067.3984375 18785.12890625 572.5458374023438 0.0 0.0 0.6002079956982431 9066.750641125727
15903.076171875 13080.6875 492.89019775390625 1.0 125.0 0.24887847120226056 31035.868612822742
12386.6650390625 9480.4853515625 456.4561462402344 2.0 215.0 0.36376118566322957 18294.949766150785
8690.064453125 5564.13671875 383.1578063964844 3.0 294.0 0.8617985557409054 7534.677383559071
8473.1416015625 7012.93359375 419.535400390625 4.0 353.0 1.0602326877393857 8495.452097725072
6880.34521484375 4963.57763671875 364.5845031738281 5.0 396.0 0.5000712704754716 5787.956653226023
4778.82373046875 3614.00439453125 329.7045593261719 6.0 450.0 0.7419160166852038 2545.4371471327963
6949.6826171875 5027.6982421875 374.26007080078125 7.0 482.0 0.30793477019048254 11219.312765120872
6118.28955078125 5685.85693359375 427.5370788574219 8.0 509.0 0.5725420868173496 6425.00649272074
5665.42529296875 4861.09375 417.2685852050781 9.0 541.0 0.48791337997043543 6394.078496530433
5549.791015625 4732.5263671875 356.2677917480469 10.0 579.0 0.49122210096620794 4985.1939252582015
4879.025390625 4384.42822265625 362.616455078125 11.0 610.0 0.512512526873855 6626.178316258926
4746.76318359375 3757.786376953125 327.2124328613281 12.0 640.0 0.9893258887085763 2949.182992873507
5339.2802734375 4296.83349609375 360.35406494140625 13.0 671.0 0.7054432261841752 4049.32823134063
3466.9619140625 2020.22998046875 276.2154541015625 14.0 689.0 0.4261835984081297 4059.664248961364
4770.3466796875 3818.42919921875 346.27166748046875 15.0 719.0 1.1798971982475612 3041.2056240324246
4852.29052734375 4219.23681640625 342.67327880859375 16.0 752.0 0.7148938937247098 794.3477792821644
4828.38134765625 4030.461669921875 354.35455322265625 17.0 781.0 0.9602944625970468 2077.292919132218
4352.15087890625 3547.819091796875 328.2406005859375 18.0 800.0 0.6662824424184516 317.15000504946454
4819.79541015625 3843.96875 331.0749816894531 19.0 832.0 0.6841415942037967 2616.3163779258184
4177.50390625 3197.330078125 315.0425109863281 20.0 854.0 0.7550789865902929 3075.4368277869817
4172.39599609375 3320.24560546875 321.51025390625 21.0 882.0 0.673076008635877 1187.1716359769152
4264.77294921875 3003.12109375 310.0650939941406 22.0 917.0 0.3340758341687815 6832.896345937269
4163.9189453125 3500.00048828125 349.9778747558594 23.0 934.0 0.5688639846237411 2169.4917565526766
3898.8515625 3416.31787109375 329.2469482421875 24.0 958.0 0.61276057792833 168.88222182660533
3888.85302734375 2929.11083984375 310.911376953125 25.0 972.0 0.5477347096931945 3975.709619235283
3379.040771484375 2622.636474609375 304.5240783691406 26.0 990.0 0.4994417551143358 3725.5697331350093
3347.197998046875 3070.827880859375 315.31549072265625 27.0 1027.0 0.3050813352136089 5496.057737374014
3065.611328125 2772.721923828125 323.9512023925781 28.0 1052.0 0.35371871678757244 4696.68610410945
3401.21142578125 2661.652099609375 298.0896301269531 29.0 1078.0 0.5115036188619949 3123.4622014918723
3340.89453125 2503.30712890625 282.7202453613281 30.0 1097.0 0.7584394512365538 1505.1449223097325
3268.840576171875 2690.99560546875 313.668212890625 31.0 1124.0 1.040977753299139 2684.4631183610018
2509.17578125 1914.59423828125 270.5309753417969 32.0 1148.0 0.9134786348350379 1736.7303570714437
3141.468994140625 2361.590087890625 274.8592529296875 33.0 1176.0 0.6887056027633622 1530.1788940350268
3107.88720703125 2588.185302734375 296.3410339355469 34.0 1200.0 0.5781882293200915 527.689397454448
2954.10693359375 2451.684814453125 303.308349609375 35.0 1222.0 0.5502129108066341 3402.3652947087294
1587.253662109375 1246.98046875 223.38157653808594 36.0 1243.0 1.0410520019490144 1300.5260321305104
2876.18408203125 1835.0413818359375 267.6882629394531 37.0 1263.0 0.307014719864338 4715.59469135393
2706.53662109375 1795.264892578125 266.4095458984375 38.0 1285.0 0.5418286204736955 1320.8897030134071
2954.10693359375 2546.99609375 301.35833740234375 39.0 1310.0 0.924008255220846 937.4890984850057
3018.87939453125 2652.08837890625 319.1105041503906 40.0 1325.0 1.2280881182392167 967.0997358400853
2829.56103515625 2282.254638671875 283.2991638183594 41.0 1337.0 0.3436966356548767 4230.794985917978
2851.51416015625 2218.677490234375 274.53131103515625 42.0 1347.0 0.6619467961945602 2335.290564298063
2814.2373046875 2249.65087890625 282.6182556152344 43.0 1362.0 0.44190222124745765 4045.923306173605
1296.320556640625 741.7327270507812 199.1503448486328 44.0 1378.0 0.3783630042972201 1955.037374296438
